race_name,Nw,Nm
Across Andes 2019,0,6
Arizona Trail Race (300) 2019,1,11
Arizona Trail Race (300) 2018,5,55
Arizona Trail Race (300) 2017,5,69
Arizona Trail Race (300) 2016,8,52
Arizona Trail Race (300) 2015,5,55
Arizona Trail Race (300) 2014,7,43
Arizona Trail Race (300) 2013,2,43
Arizona Trail Race (300) 2012,4,37
Arizona Trail Race (300) 2011,2,20
Arizona Trail Race (300) 2010,2,23
Arizona Trail Race (300) 2009,0,11
Arizona Trail Race (300) 2008,0,10
Arizona Trail Race (300) 2007,0,6
Arizona Trail Race (300) 2006,0,6
Arizona Trail Race (750) 2019,1,23
Arizona Trail Race (750) 2018,3,29
Arizona Trail Race (750) 2017,4,31
Arizona Trail Race (750) 2016,4,31
Arizona Trail Race (750) 2015,2,23
Arizona Trail Race (750) 2014,1,7
Arizona Trail Race (750) 2013,1,15
Arizona Trail Race (750) 2012,1,9
Arizona Trail Race (750) 2011,0,3
Arizona Trail Race (750) 2010,0,5
Atlas Mountain Race 2020,4,95
BC Epic 1000 2019,3,26
BC Epic 1000 2018,3,34
BC Epic 1000 2017,2,8
BC Epic 1000 2016,0,7
B-HARD Ultra Race 2019,0,10
Bikepacking Trans Germany 2019,5,105
Bikepacking Trans Germany 2018,6,56
Bikepacking Trans Germany 2017,0,21
Bikepacking Trans Germany 2016,1,13
BikingMan: Corsica 2018,5,60
BikingMan: Inca Divide 2018,0,29
BikingMan: Oman 2018,4,32
BikingMan: Taiwan 2018,4,18
Bohemia Divide 2019,2,32
Bohemia Divide 2018,0,48
Colorado Trail Race 2019,5,32
Colorado Trail Race 2017,1,17
Colorado Trail Race 2016,2,27
Colorado Trail Race 2015,1,31
Colorado Trail Race 2014,0,13
Colorado Trail Race 2013,2,33
Colorado Trail Race 2012,2,23
Colorado Trail Race 2011,3,22
Colorado Trail Race 2010,4,35
Colorado Trail Race 2009,2,34
Colorado Trail Race 2008,2,21
Colorado Trail Race 2007,0,10
French Divide 2019,2,48
French Divide 2018,7,47
French Divide 2017,6,55
GBDURO 2020,2,3
GBDURO 2019,2,10
Highland Trail 550 ,0,0
Highland Trail 550 2018,2,29
Highland Trail 550 2017,4,35
Highland Trail 550 2016,4,32
Highland Trail 550 2015,0,15
Highland Trail 550 2014,1,11
Highland Trail 550 2013,0,15
Hope 1000 2020,3,42
Hope 1000 2019,4,47
Hope 1000 2018,1,27
Hope 1000 2017,1,20
Hope 1000 2016,0,16
Hope 1000 2015,0,23
Iditarod Trail Invitational (1000) 2020,1,10
Iditarod Trail Invitational (1000) 2019,2,8
Iditarod Trail Invitational (1000) 2018,0,11
Iditarod Trail Invitational (1000) 2017,0,6
Iditarod Trail Invitational (1000) 2016,1,13
Iditarod Trail Invitational (1000) 2015,0,4
Iditarod Trail Invitational (1000) 2014,2,14
Iditarod Trail Invitational (1000) 2013,0,8
Iditarod Trail Invitational (1000) 2011,1,4
Iditarod Trail Invitational (1000) 2010,1,4
Iditarod Trail Invitational (1000) 2009,0,2
Iditarod Trail Invitational (1000) 2008,1,5
Iditarod Trail Invitational (1000) 2007,0,2
Iditarod Trail Invitational (1000) 2006,0,2
Iditarod Trail Invitational (1000) 2005,0,2
Iditarod Trail Invitational (1000) 2004,0,1
Iditarod Trail Invitational (1000) 2002,0,7
Iditarod Trail Invitational (1000) 2001,0,4
Iditarod Trail Invitational (1000) 2000,0,12
Iditarod Trail Invitational (130) 2018,0,7
Iditarod Trail Invitational (130) 2017,5,7
Iditarod Trail Invitational (130) 2016,2,9
Iditarod Trail Invitational (150) 2019,3,10
Iditarod Trail Invitational (350) 2020,7,25
Iditarod Trail Invitational (350) 2019,2,37
Iditarod Trail Invitational (350) 2018,10,28
Iditarod Trail Invitational (350) 2017,3,25
Iditarod Trail Invitational (350) 2016,8,29
Iditarod Trail Invitational (350) 2015,7,43
Iditarod Trail Invitational (350) 2014,3,46
Iditarod Trail Invitational (350) 2013,4,44
Iditarod Trail Invitational (350) 2012,2,16
Iditarod Trail Invitational (350) 2011,6,30
Iditarod Trail Invitational (350) 2010,4,31
Iditarod Trail Invitational (350) 2009,2,26
Iditarod Trail Invitational (350) 2008,10,48
Iditarod Trail Invitational (350) 2007,2,30
Iditarod Trail Invitational (350) 2006,4,32
Iditarod Trail Invitational (350) 2005,6,50
Iditarod Trail Invitational (350) 2004,0,18
Iditarod Trail Invitational (350) 2003,4,28
Iditarod Trail Invitational (350) 2002,4,38
Iditarod Trail Invitational (800) 2003,2,14
Italy Divide 2019,8,88
North Cape 4000 2019,2,59
North Cape 4000 2018,2,72
North Cape 4000 2017,0,41
Northcape-Tarifa 2019,0,3
Northcape-Tarifa 2018,1,1
Pan Celtic Race (Long) 2019,3,29
Pan Celtic Race (Short) 2019,2,13
Race Through Poland 2019,1,50
Race Through Poland 2018,2,4
Race to the Rock 2018,4,18
Silk Road Mountain Race 2019,1,43
Silk Road Mountain Race 2018,1,23
Three Peaks Bike Race 2019,1,58
Three Peaks Bike Race 2018,0,9
Tour Divide 2019,6,66
Tour Divide 2018,9,54
Tour Divide 2017,8,66
Tour Divide 2016,2,72
Tour Divide 2016,2,72
Tour Divide 2015,8,73
Tour Divide 2014,7,42
Tour Divide 2013,3,76
Tour Divide 2012,5,57
Tour Divide 2011,5,40
Tour Divide 2010,2,44
Tour Divide 2009,1,14
Tour Divide 2008,0,16
Trans Alba Race 2019,1,15
Trans Am Bike Race 2019,3,38
Trans Am Bike Race 2018,0,6
Trans Am Bike Race 2017,2,6
Trans Am Bike Race 2016,3,39
Trans Am Bike Race 2015,0,24
Trans Am Bike Race 2014,2,23
TransAtlantic Way 2018,11,119
TransAtlantic Way 2017,8,72
TransAtlantic Way 2016,4,23
TransAtlantic Way (Long) 2019,3,44
TransAtlantic Way (Short) 2019,4,22
Transcontinental Race 2019,31,191
Transcontinental Race 2018,10,216
Transcontinental Race 2017,7,87
Transcontinental Race 2016,2,82
Transcontinental Race 2015,4,140
Transcontinental Race 2014,3,61
Transcontinental Race 2013,1,20
TransIberica 2019,0,21
TransIberica 2018,0,8
TransPyrenees 2019,3,34
Transpyrenees (Lost Dot) 2019,1,5
Trans Siberian Extreme 2018,0,4
Trans Siberian Extreme 2017,0,10
Trans Siberian Extreme 2016,0,6
Trans Siberian Extreme 2015,0,4
Two Volcano Sprint 2019,2,8
